Problem:    donMario_II
Rows:       598
Columns:    231 (224 integer, 217 binary)
Non-zeros:  1419
Status:     INTEGER OPTIMAL
Objective:  z = 67 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 z                          67                             
     2 definicionX[1]
                                   0            -0             = 
     3 definicionX[2]
                                   0            -0             = 
     4 definicionX[3]
                                   0            -0             = 
     5 definicionX[4]
                                   0            -0             = 
     6 definicionX[5]
                                   0            -0             = 
     7 definicionX[6]
                                   0            -0             = 
     8 definicionX[7]
                                   0            -0             = 
     9 soloSiClienteVaVende[1,1]
                                   1                           1 
    10 soloSiClienteVaVende[1,2]
                                   0                          -0 
    11 soloSiClienteVaVende[1,3]
                                   1                           1 
    12 soloSiClienteVaVende[1,4]
                                   0                          -0 
    13 soloSiClienteVaVende[1,5]
                                   0                          -0 
    14 soloSiClienteVaVende[1,6]
                                   0                          -0 
    15 soloSiClienteVaVende[1,7]
                                   1                           1 
    16 soloSiClienteVaVende[2,1]
                                   0                          -0 
    17 soloSiClienteVaVende[2,2]
                                   1                           1 
    18 soloSiClienteVaVende[2,3]
                                   0                          -0 
    19 soloSiClienteVaVende[2,4]
                                   1                           1 
    20 soloSiClienteVaVende[2,5]
                                   0                          -0 
    21 soloSiClienteVaVende[2,6]
                                   1                           1 
    22 soloSiClienteVaVende[2,7]
                                   1                           1 
    23 soloSiClienteVaVende[3,1]
                                   1                           1 
    24 soloSiClienteVaVende[3,2]
                                   0                          -0 
    25 soloSiClienteVaVende[3,3]
                                   1                           1 
    26 soloSiClienteVaVende[3,4]
                                   0                          -0 
    27 soloSiClienteVaVende[3,5]
                                   1                           1 
    28 soloSiClienteVaVende[3,6]
                                   0                          -0 
    29 soloSiClienteVaVende[3,7]
                                   1                           1 
    30 soloSiClienteVaVende[4,1]
                                   1                           1 
    31 soloSiClienteVaVende[4,2]
                                   0                          -0 
    32 soloSiClienteVaVende[4,3]
                                   1                           1 
    33 soloSiClienteVaVende[4,4]
                                   1                           1 
    34 soloSiClienteVaVende[4,5]
                                   0                          -0 
    35 soloSiClienteVaVende[4,6]
                                   1                           1 
    36 soloSiClienteVaVende[4,7]
                                   1                           1 
    37 soloSiClienteVaVende[5,1]
                                   0                          -0 
    38 soloSiClienteVaVende[5,2]
                                   1                           1 
    39 soloSiClienteVaVende[5,3]
                                   1                           1 
    40 soloSiClienteVaVende[5,4]
                                   1                           1 
    41 soloSiClienteVaVende[5,5]
                                   0                           1 
    42 soloSiClienteVaVende[5,6]
                                   0                          -0 
    43 soloSiClienteVaVende[5,7]
                                   1                           1 
    44 soloSiClienteVaVende[6,1]
                                   1                           1 
    45 soloSiClienteVaVende[6,2]
                                   0                          -0 
    46 soloSiClienteVaVende[6,3]
                                   1                           1 
    47 soloSiClienteVaVende[6,4]
                                   1                           1 
    48 soloSiClienteVaVende[6,5]
                                   0                          -0 
    49 soloSiClienteVaVende[6,6]
                                   1                           1 
    50 soloSiClienteVaVende[6,7]
                                   0                          -0 
    51 soloSiClienteVaVende[7,1]
                                   0                          -0 
    52 soloSiClienteVaVende[7,2]
                                   0                          -0 
    53 soloSiClienteVaVende[7,3]
                                   0                           1 
    54 soloSiClienteVaVende[7,4]
                                   1                           1 
    55 soloSiClienteVaVende[7,5]
                                   1                           1 
    56 soloSiClienteVaVende[7,6]
                                   0                          -0 
    57 soloSiClienteVaVende[7,7]
                                   0                          -0 
    58 soloSiClienteVaVende[8,1]
                                   1                           1 
    59 soloSiClienteVaVende[8,2]
                                   1                           1 
    60 soloSiClienteVaVende[8,3]
                                   1                           1 
    61 soloSiClienteVaVende[8,4]
                                   0                           1 
    62 soloSiClienteVaVende[8,5]
                                   0                          -0 
    63 soloSiClienteVaVende[8,6]
                                   1                           1 
    64 soloSiClienteVaVende[8,7]
                                   0                          -0 
    65 soloSiClienteVaVende[9,1]
                                   0                          -0 
    66 soloSiClienteVaVende[9,2]
                                   1                           1 
    67 soloSiClienteVaVende[9,3]
                                   0                          -0 
    68 soloSiClienteVaVende[9,4]
                                   0                          -0 
    69 soloSiClienteVaVende[9,5]
                                   1                           1 
    70 soloSiClienteVaVende[9,6]
                                   0                          -0 
    71 soloSiClienteVaVende[9,7]
                                   1                           1 
    72 soloSiClienteVaVende[10,1]
                                   1                           1 
    73 soloSiClienteVaVende[10,2]
                                   0                          -0 
    74 soloSiClienteVaVende[10,3]
                                   1                           1 
    75 soloSiClienteVaVende[10,4]
                                   1                           1 
    76 soloSiClienteVaVende[10,5]
                                   0                          -0 
    77 soloSiClienteVaVende[10,6]
                                   1                           1 
    78 soloSiClienteVaVende[10,7]
                                   1                           1 
    79 soloSiClienteVaVende[11,1]
                                   1                           1 
    80 soloSiClienteVaVende[11,2]
                                   0                          -0 
    81 soloSiClienteVaVende[11,3]
                                   1                           1 
    82 soloSiClienteVaVende[11,4]
                                   1                           1 
    83 soloSiClienteVaVende[11,5]
                                   0                          -0 
    84 soloSiClienteVaVende[11,6]
                                   1                           1 
    85 soloSiClienteVaVende[11,7]
                                   0                          -0 
    86 soloSiClienteVaVende[12,1]
                                   0                          -0 
    87 soloSiClienteVaVende[12,2]
                                   1                           1 
    88 soloSiClienteVaVende[12,3]
                                   1                           1 
    89 soloSiClienteVaVende[12,4]
                                   1                           1 
    90 soloSiClienteVaVende[12,5]
                                   0                           1 
    91 soloSiClienteVaVende[12,6]
                                   1                           1 
    92 soloSiClienteVaVende[12,7]
                                   0                          -0 
    93 soloSiClienteVaVende[13,1]
                                   1                           1 
    94 soloSiClienteVaVende[13,2]
                                   1                           1 
    95 soloSiClienteVaVende[13,3]
                                   0                          -0 
    96 soloSiClienteVaVende[13,4]
                                   0                          -0 
    97 soloSiClienteVaVende[13,5]
                                   1                           1 
    98 soloSiClienteVaVende[13,6]
                                   1                           1 
    99 soloSiClienteVaVende[13,7]
                                   0                          -0 
   100 soloSiClienteVaVende[14,1]
                                   1                           1 
   101 soloSiClienteVaVende[14,2]
                                   0                          -0 
   102 soloSiClienteVaVende[14,3]
                                   1                           1 
   103 soloSiClienteVaVende[14,4]
                                   0                          -0 
   104 soloSiClienteVaVende[14,5]
                                   1                           1 
   105 soloSiClienteVaVende[14,6]
                                   1                           1 
   106 soloSiClienteVaVende[14,7]
                                   0                          -0 
   107 soloSiClienteVaVende[15,1]
                                   0                          -0 
   108 soloSiClienteVaVende[15,2]
                                   1                           1 
   109 soloSiClienteVaVende[15,3]
                                   1                           1 
   110 soloSiClienteVaVende[15,4]
                                   0                          -0 
   111 soloSiClienteVaVende[15,5]
                                   1                           1 
   112 soloSiClienteVaVende[15,6]
                                   0                          -0 
   113 soloSiClienteVaVende[15,7]
                                   1                           1 
   114 soloSiClienteVaRegala[1,1]
                                   0                           1 
   115 soloSiClienteVaRegala[1,2]
                                   0                          -0 
   116 soloSiClienteVaRegala[1,3]
                                   0                           1 
   117 soloSiClienteVaRegala[1,4]
                                   0                          -0 
   118 soloSiClienteVaRegala[1,5]
                                   0                          -0 
   119 soloSiClienteVaRegala[1,6]
                                   0                          -0 
   120 soloSiClienteVaRegala[1,7]
                                   0                           1 
   121 soloSiClienteVaRegala[2,1]
                                   0                          -0 
   122 soloSiClienteVaRegala[2,2]
                                   0                           1 
   123 soloSiClienteVaRegala[2,3]
                                   0                          -0 
   124 soloSiClienteVaRegala[2,4]
                                   0                           1 
   125 soloSiClienteVaRegala[2,5]
                                   0                          -0 
   126 soloSiClienteVaRegala[2,6]
                                   0                           1 
   127 soloSiClienteVaRegala[2,7]
                                   0                           1 
   128 soloSiClienteVaRegala[3,1]
                                   0                           1 
   129 soloSiClienteVaRegala[3,2]
                                   0                          -0 
   130 soloSiClienteVaRegala[3,3]
                                   0                           1 
   131 soloSiClienteVaRegala[3,4]
                                   0                          -0 
   132 soloSiClienteVaRegala[3,5]
                                   0                           1 
   133 soloSiClienteVaRegala[3,6]
                                   0                          -0 
   134 soloSiClienteVaRegala[3,7]
                                   0                           1 
   135 soloSiClienteVaRegala[4,1]
                                   0                           1 
   136 soloSiClienteVaRegala[4,2]
                                   0                          -0 
   137 soloSiClienteVaRegala[4,3]
                                   0                           1 
   138 soloSiClienteVaRegala[4,4]
                                   0                           1 
   139 soloSiClienteVaRegala[4,5]
                                   0                          -0 
   140 soloSiClienteVaRegala[4,6]
                                   0                           1 
   141 soloSiClienteVaRegala[4,7]
                                   0                           1 
   142 soloSiClienteVaRegala[5,1]
                                   0                          -0 
   143 soloSiClienteVaRegala[5,2]
                                   0                           1 
   144 soloSiClienteVaRegala[5,3]
                                   0                           1 
   145 soloSiClienteVaRegala[5,4]
                                   0                           1 
   146 soloSiClienteVaRegala[5,5]
                                   1                           1 
   147 soloSiClienteVaRegala[5,6]
                                   0                          -0 
   148 soloSiClienteVaRegala[5,7]
                                   0                           1 
   149 soloSiClienteVaRegala[6,1]
                                   0                           1 
   150 soloSiClienteVaRegala[6,2]
                                   0                          -0 
   151 soloSiClienteVaRegala[6,3]
                                   0                           1 
   152 soloSiClienteVaRegala[6,4]
                                   0                           1 
   153 soloSiClienteVaRegala[6,5]
                                   0                          -0 
   154 soloSiClienteVaRegala[6,6]
                                   0                           1 
   155 soloSiClienteVaRegala[6,7]
                                   0                          -0 
   156 soloSiClienteVaRegala[7,1]
                                   0                          -0 
   157 soloSiClienteVaRegala[7,2]
                                   0                          -0 
   158 soloSiClienteVaRegala[7,3]
                                   0                           1 
   159 soloSiClienteVaRegala[7,4]
                                   0                           1 
   160 soloSiClienteVaRegala[7,5]
                                   0                           1 
   161 soloSiClienteVaRegala[7,6]
                                   0                          -0 
   162 soloSiClienteVaRegala[7,7]
                                   0                          -0 
   163 soloSiClienteVaRegala[8,1]
                                   0                           1 
   164 soloSiClienteVaRegala[8,2]
                                   0                           1 
   165 soloSiClienteVaRegala[8,3]
                                   0                           1 
   166 soloSiClienteVaRegala[8,4]
                                   1                           1 
   167 soloSiClienteVaRegala[8,5]
                                   0                          -0 
   168 soloSiClienteVaRegala[8,6]
                                   0                           1 
   169 soloSiClienteVaRegala[8,7]
                                   0                          -0 
   170 soloSiClienteVaRegala[9,1]
                                   0                          -0 
   171 soloSiClienteVaRegala[9,2]
                                   0                           1 
   172 soloSiClienteVaRegala[9,3]
                                   0                          -0 
   173 soloSiClienteVaRegala[9,4]
                                   0                          -0 
   174 soloSiClienteVaRegala[9,5]
                                   0                           1 
   175 soloSiClienteVaRegala[9,6]
                                   0                          -0 
   176 soloSiClienteVaRegala[9,7]
                                   0                           1 
   177 soloSiClienteVaRegala[10,1]
                                   0                           1 
   178 soloSiClienteVaRegala[10,2]
                                   0                          -0 
   179 soloSiClienteVaRegala[10,3]
                                   0                           1 
   180 soloSiClienteVaRegala[10,4]
                                   0                           1 
   181 soloSiClienteVaRegala[10,5]
                                   0                          -0 
   182 soloSiClienteVaRegala[10,6]
                                   0                           1 
   183 soloSiClienteVaRegala[10,7]
                                   0                           1 
   184 soloSiClienteVaRegala[11,1]
                                   0                           1 
   185 soloSiClienteVaRegala[11,2]
                                   0                          -0 
   186 soloSiClienteVaRegala[11,3]
                                   0                           1 
   187 soloSiClienteVaRegala[11,4]
                                   0                           1 
   188 soloSiClienteVaRegala[11,5]
                                   0                          -0 
   189 soloSiClienteVaRegala[11,6]
                                   0                           1 
   190 soloSiClienteVaRegala[11,7]
                                   0                          -0 
   191 soloSiClienteVaRegala[12,1]
                                   0                          -0 
   192 soloSiClienteVaRegala[12,2]
                                   0                           1 
   193 soloSiClienteVaRegala[12,3]
                                   0                           1 
   194 soloSiClienteVaRegala[12,4]
                                   0                           1 
   195 soloSiClienteVaRegala[12,5]
                                   1                           1 
   196 soloSiClienteVaRegala[12,6]
                                   0                           1 
   197 soloSiClienteVaRegala[12,7]
                                   0                          -0 
   198 soloSiClienteVaRegala[13,1]
                                   0                           1 
   199 soloSiClienteVaRegala[13,2]
                                   0                           1 
   200 soloSiClienteVaRegala[13,3]
                                   0                          -0 
   201 soloSiClienteVaRegala[13,4]
                                   0                          -0 
   202 soloSiClienteVaRegala[13,5]
                                   0                           1 
   203 soloSiClienteVaRegala[13,6]
                                   0                           1 
   204 soloSiClienteVaRegala[13,7]
                                   0                          -0 
   205 soloSiClienteVaRegala[14,1]
                                   0                           1 
   206 soloSiClienteVaRegala[14,2]
                                   0                          -0 
   207 soloSiClienteVaRegala[14,3]
                                   0                           1 
   208 soloSiClienteVaRegala[14,4]
                                   0                          -0 
   209 soloSiClienteVaRegala[14,5]
                                   0                           1 
   210 soloSiClienteVaRegala[14,6]
                                   0                           1 
   211 soloSiClienteVaRegala[14,7]
                                   0                          -0 
   212 soloSiClienteVaRegala[15,1]
                                   0                          -0 
   213 soloSiClienteVaRegala[15,2]
                                   0                           1 
   214 soloSiClienteVaRegala[15,3]
                                   0                           1 
   215 soloSiClienteVaRegala[15,4]
                                   0                          -0 
   216 soloSiClienteVaRegala[15,5]
                                   0                           1 
   217 soloSiClienteVaRegala[15,6]
                                   0                          -0 
   218 soloSiClienteVaRegala[15,7]
                                   0                           1 
   219 noDobleEntrega[1,1]
                                   1                           1 
   220 noDobleEntrega[1,2]
                                   0                           1 
   221 noDobleEntrega[1,3]
                                   1                           1 
   222 noDobleEntrega[1,4]
                                   0                           1 
   223 noDobleEntrega[1,5]
                                   0                           1 
   224 noDobleEntrega[1,6]
                                   0                           1 
   225 noDobleEntrega[1,7]
                                   1                           1 
   226 noDobleEntrega[2,1]
                                   0                           1 
   227 noDobleEntrega[2,2]
                                   1                           1 
   228 noDobleEntrega[2,3]
                                   0                           1 
   229 noDobleEntrega[2,4]
                                   1                           1 
   230 noDobleEntrega[2,5]
                                   0                           1 
   231 noDobleEntrega[2,6]
                                   1                           1 
   232 noDobleEntrega[2,7]
                                   1                           1 
   233 noDobleEntrega[3,1]
                                   1                           1 
   234 noDobleEntrega[3,2]
                                   0                           1 
   235 noDobleEntrega[3,3]
                                   1                           1 
   236 noDobleEntrega[3,4]
                                   0                           1 
   237 noDobleEntrega[3,5]
                                   1                           1 
   238 noDobleEntrega[3,6]
                                   0                           1 
   239 noDobleEntrega[3,7]
                                   1                           1 
   240 noDobleEntrega[4,1]
                                   1                           1 
   241 noDobleEntrega[4,2]
                                   0                           1 
   242 noDobleEntrega[4,3]
                                   1                           1 
   243 noDobleEntrega[4,4]
                                   1                           1 
   244 noDobleEntrega[4,5]
                                   0                           1 
   245 noDobleEntrega[4,6]
                                   1                           1 
   246 noDobleEntrega[4,7]
                                   1                           1 
   247 noDobleEntrega[5,1]
                                   0                           1 
   248 noDobleEntrega[5,2]
                                   1                           1 
   249 noDobleEntrega[5,3]
                                   1                           1 
   250 noDobleEntrega[5,4]
                                   1                           1 
   251 noDobleEntrega[5,5]
                                   1                           1 
   252 noDobleEntrega[5,6]
                                   0                           1 
   253 noDobleEntrega[5,7]
                                   1                           1 
   254 noDobleEntrega[6,1]
                                   1                           1 
   255 noDobleEntrega[6,2]
                                   0                           1 
   256 noDobleEntrega[6,3]
                                   1                           1 
   257 noDobleEntrega[6,4]
                                   1                           1 
   258 noDobleEntrega[6,5]
                                   0                           1 
   259 noDobleEntrega[6,6]
                                   1                           1 
   260 noDobleEntrega[6,7]
                                   0                           1 
   261 noDobleEntrega[7,1]
                                   0                           1 
   262 noDobleEntrega[7,2]
                                   0                           1 
   263 noDobleEntrega[7,3]
                                   0                           1 
   264 noDobleEntrega[7,4]
                                   1                           1 
   265 noDobleEntrega[7,5]
                                   1                           1 
   266 noDobleEntrega[7,6]
                                   0                           1 
   267 noDobleEntrega[7,7]
                                   0                           1 
   268 noDobleEntrega[8,1]
                                   1                           1 
   269 noDobleEntrega[8,2]
                                   1                           1 
   270 noDobleEntrega[8,3]
                                   1                           1 
   271 noDobleEntrega[8,4]
                                   1                           1 
   272 noDobleEntrega[8,5]
                                   0                           1 
   273 noDobleEntrega[8,6]
                                   1                           1 
   274 noDobleEntrega[8,7]
                                   0                           1 
   275 noDobleEntrega[9,1]
                                   0                           1 
   276 noDobleEntrega[9,2]
                                   1                           1 
   277 noDobleEntrega[9,3]
                                   0                           1 
   278 noDobleEntrega[9,4]
                                   0                           1 
   279 noDobleEntrega[9,5]
                                   1                           1 
   280 noDobleEntrega[9,6]
                                   0                           1 
   281 noDobleEntrega[9,7]
                                   1                           1 
   282 noDobleEntrega[10,1]
                                   1                           1 
   283 noDobleEntrega[10,2]
                                   0                           1 
   284 noDobleEntrega[10,3]
                                   1                           1 
   285 noDobleEntrega[10,4]
                                   1                           1 
   286 noDobleEntrega[10,5]
                                   0                           1 
   287 noDobleEntrega[10,6]
                                   1                           1 
   288 noDobleEntrega[10,7]
                                   1                           1 
   289 noDobleEntrega[11,1]
                                   1                           1 
   290 noDobleEntrega[11,2]
                                   0                           1 
   291 noDobleEntrega[11,3]
                                   1                           1 
   292 noDobleEntrega[11,4]
                                   1                           1 
   293 noDobleEntrega[11,5]
                                   0                           1 
   294 noDobleEntrega[11,6]
                                   1                           1 
   295 noDobleEntrega[11,7]
                                   0                           1 
   296 noDobleEntrega[12,1]
                                   0                           1 
   297 noDobleEntrega[12,2]
                                   1                           1 
   298 noDobleEntrega[12,3]
                                   1                           1 
   299 noDobleEntrega[12,4]
                                   1                           1 
   300 noDobleEntrega[12,5]
                                   1                           1 
   301 noDobleEntrega[12,6]
                                   1                           1 
   302 noDobleEntrega[12,7]
                                   0                           1 
   303 noDobleEntrega[13,1]
                                   1                           1 
   304 noDobleEntrega[13,2]
                                   1                           1 
   305 noDobleEntrega[13,3]
                                   0                           1 
   306 noDobleEntrega[13,4]
                                   0                           1 
   307 noDobleEntrega[13,5]
                                   1                           1 
   308 noDobleEntrega[13,6]
                                   1                           1 
   309 noDobleEntrega[13,7]
                                   0                           1 
   310 noDobleEntrega[14,1]
                                   1                           1 
   311 noDobleEntrega[14,2]
                                   0                           1 
   312 noDobleEntrega[14,3]
                                   1                           1 
   313 noDobleEntrega[14,4]
                                   0                           1 
   314 noDobleEntrega[14,5]
                                   1                           1 
   315 noDobleEntrega[14,6]
                                   1                           1 
   316 noDobleEntrega[14,7]
                                   0                           1 
   317 noDobleEntrega[15,1]
                                   0                           1 
   318 noDobleEntrega[15,2]
                                   1                           1 
   319 noDobleEntrega[15,3]
                                   1                           1 
   320 noDobleEntrega[15,4]
                                   0                           1 
   321 noDobleEntrega[15,5]
                                   1                           1 
   322 noDobleEntrega[15,6]
                                   0                           1 
   323 noDobleEntrega[15,7]
                                   1                           1 
   324 promo1[1,4]                -1                          -0 
   325 promo1[1,5]                 0                          -0 
   326 promo1[1,6]                 0                          -0 
   327 promo1[1,7]                 0                          -0 
   328 promo1[2,4]                 0                          -0 
   329 promo1[2,5]                -1                          -0 
   330 promo1[2,6]                 0                          -0 
   331 promo1[2,7]                -1                          -0 
   332 promo1[3,4]                -1                          -0 
   333 promo1[3,5]                 0                          -0 
   334 promo1[3,6]                -1                          -0 
   335 promo1[3,7]                 0                          -0 
   336 promo1[4,4]                -1                          -0 
   337 promo1[4,5]                -1                          -0 
   338 promo1[4,6]                 0                          -0 
   339 promo1[4,7]                -1                          -0 
   340 promo1[5,4]                -1                          -0 
   341 promo1[5,5]                 0                          -0 
   342 promo1[5,6]                 0                          -0 
   343 promo1[5,7]                 0                          -0 
   344 promo1[6,4]                -1                          -0 
   345 promo1[6,5]                -1                          -0 
   346 promo1[6,6]                 0                          -0 
   347 promo1[6,7]                -1                          -0 
   348 promo1[7,4]                 0                          -0 
   349 promo1[7,5]                -1                          -0 
   350 promo1[7,6]                -1                          -0 
   351 promo1[7,7]                 0                          -0 
   352 promo1[8,4]                 0                          -0 
   353 promo1[8,5]                 0                          -0 
   354 promo1[8,6]                 0                          -0 
   355 promo1[8,7]                -1                          -0 
   356 promo1[9,4]                 0                          -0 
   357 promo1[9,5]                 0                          -0 
   358 promo1[9,6]                -1                          -0 
   359 promo1[9,7]                 0                          -0 
   360 promo1[10,4]               -1                          -0 
   361 promo1[10,5]               -1                          -0 
   362 promo1[10,6]                0                          -0 
   363 promo1[10,7]               -1                          -0 
   364 promo1[11,4]               -1                          -0 
   365 promo1[11,5]               -1                          -0 
   366 promo1[11,6]                0                          -0 
   367 promo1[11,7]               -1                          -0 
   368 promo1[12,4]               -1                          -0 
   369 promo1[12,5]                0                          -0 
   370 promo1[12,6]                0                          -0 
   371 promo1[12,7]               -1                          -0 
   372 promo1[13,4]                0                          -0 
